Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,20002.52025705942
21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,20002.52025705942
23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,20002.52025705942
34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,20002.520257046745
24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,20002.520257046745
29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20002.520257046745
35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,20002.520257046745
33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,20002.520257042732
34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,,No,Metropolitian,41,20002.520257042732
21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,20002.520257042732
25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,20002.52025703843
31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,20002.52025703843
37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,20002.52025703843
33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,20002.52025703843
25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,20002.520257037824
29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,20002.520257037824
27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,20002.520257037824
35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,20002.520257037824
32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,20002.520257032207
23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,20002.520257032207
31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.520257032207
36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,20002.52025703129
26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,21,20002.52025703129
38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,20002.52025703129
32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,20002.520257028576
32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,20002.520257028576
33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,20002.52025702837
20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,10,20002.52025702837
20.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,19,20002.520257028355
35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,20002.520257028355
26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,20002.520257028355
22.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520257028125
35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,20002.520257028125
,,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,33,20002.520257028125
37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,20002.520257027973
28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,20002.520257027973
37.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,16,20002.520257027798
23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,20002.520257027798
27.0,4.9,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,20002.520257027798
37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,20002.520257027798
33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,20002.520257023803
31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.520257023803
31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.520257023803
25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,20002.520257023803
28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,20002.520257019383
31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,20002.520257019383
24.0,4.7,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,19,20002.520257019383
39.0,4.6,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,20002.520257017437
39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,49,20002.520257017437
32.0,4.5,Windy,Low,2,Buffet,scooter,0.0,No,,20,20002.520257017437
36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,20002.520257017437
25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,20002.520257017288
33.0,4.9,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,22,20002.520257017288
30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,20002.520257017288
33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,20002.520257017288
36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,20002.52025699965
21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,20002.52025699965
39.0,4.9,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,30,20002.52025699965
23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,20002.520256255022
35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,16,20002.520256255022
39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,20002.52025624634
22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,20002.52025624634
32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,20002.52025624097
