,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,14989,33.0,5.0,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,26,16.849939917998213
1,40024,21.0,4.7,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,20,13.788852090000775
2,17122,32.0,5.0,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,39,19.916432533841498
3,17527,31.0,4.9,Stormy,High,2,Meal,scooter,1.0,No,Metropolitian,26,6.081091813761124
4,8942,36.0,4.7,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,39,14.152800689506924
5,1757,27.0,4.7,Cloudy,Jam,2,Meal,electric_scooter,2.0,No,Urban,40,13.829019124510912
6,5536,29.0,4.9,Stormy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,14,19.661022213462363
7,43590,20.0,4.7,Cloudy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,39,10.867352908493617
8,11206,32.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,22,2.9802895429476193
9,43596,24.0,4.6,Fog,Low,1,Snack,motorcycle,1.0,No,Urban,10,4.537647566323389
10,42307,30.0,4.7,Cloudy,Medium,0,Snack,motorcycle,0.0,No,,27,6.29013467758336
11,23333,33.0,4.9,Stormy,Jam,1,Meal,motorcycle,1.0,No,Urban,28,4.634551589059091
12,24682,39.0,4.9,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Urban,27,9.19337303925858
13,31506,31.0,4.1,Cloudy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,40,12.237791614989472
14,13695,24.0,4.8,Stormy,Jam,2,Snack,scooter,0.0,No,Metropolitian,19,14.152800689506924
15,20712,22.0,4.3,Cloudy,Jam,2,Buffet,electric_scooter,2.0,No,Metropolitian,42,10.867300461849286
16,28559,34.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,47,17.076787116439924
17,299,22.0,4.6,Windy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,19,4.663658229525843
18,21879,31.0,4.6,Fog,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,17,9.435201537103644
19,11130,39.0,3.5,Windy,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,43,10.724517747852177
20,4898,20.0,4.6,Fog,Low,1,Drinks,scooter,1.0,No,Urban,22,19.362580183468
21,43917,33.0,4.4,Sandstorms,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,48,19.839448163882842
22,29707,23.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,14,16.852086415653744
23,10884,26.0,4.5,Stormy,Low,2,Drinks,scooter,0.0,No,Metropolitian,14,20.253785359472815
24,40099,21.0,4.9,Sunny,Medium,1,Meal,motorcycle,1.0,No,Urban,10,9.263237192750173
25,1667,34.0,5.0,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,38,6.232152800617194
26,14057,33.0,4.9,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,1.5725337265584898
27,8852,21.0,4.8,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,4.540192983572916
28,20019,33.0,4.9,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,19,7.56236421354915
29,6521,27.0,4.2,Windy,High,0,Snack,motorcycle,1.0,No,Urban,35,3.109059105172104
30,10238,28.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,12,17.138041435490585
31,20429,26.0,4.4,Cloudy,Jam,1,Meal,scooter,1.0,No,Metropolitian,33,20.182634488296788
32,20471,,,Windy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,42,12.099374423135917
33,28135,31.0,4.9,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,18,4.591636071443373
34,30507,24.0,5.0,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,30,16.63531520323739
35,29831,35.0,4.5,Stormy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,22,13.582337494248948
36,41214,29.0,4.9,Stormy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,17,13.681601719307125
37,15722,28.0,4.6,Cloudy,Medium,1,Meal,motorcycle,0.0,No,Urban,14,4.5893451149877675
38,18881,21.0,4.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,23,9.220418694238614
39,18600,23.0,4.9,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,21,4.561113588605107
40,20565,38.0,4.7,Windy,Jam,1,Meal,scooter,1.0,No,Metropolitian,33,7.550435657355577
41,10077,38.0,4.4,Cloudy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,31,9.219708855854169
42,1841,29.0,4.6,Sunny,Jam,1,Drinks,scooter,0.0,No,Urban,12,8.953146585332123
43,22369,38.0,4.9,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,19,12.074056378006551
